B	9	7	8	1	5	E	4	3	2	6	A	D	f	C	0
0	e	4	1	3	7	d	6	8	C	9	F	A	b	5	2
A	d	f	6	c	2	8	b	0	5	1	4	3	7	9	e
3	c	5	2	a	0	9	F	d	7	e	b	1	4	6	8
c	4	6	a	B	8	2	1	5	E	0	7	9	3	f	d
8	2	E	3	7	C	0	a	6	9	F	D	B	5	1	4
9	F	0	7	4	e	5	D	c	3	b	1	2	a	8	6
5	1	b	D	6	F	3	9	2	4	A	8	C	e	0	7
e	8	9	f	2	1	4	7	B	a	c	3	6	0	D	5
4	7	D	b	5	3	6	c	1	8	2	0	F	9	E	a
2	3	A	0	9	d	F	e	4	6	7	5	8	1	B	C
6	5	1	C	8	A	B	0	9	f	d	E	7	2	4	3
7	A	8	9	d	B	1	2	e	0	5	c	4	6	3	f
D	b	C	E	F	4	7	5	A	1	3	6	0	8	2	9
1	0	2	4	E	6	A	3	f	D	8	9	5	c	7	b
f	6	3	5	0	9	C	8	7	B	4	2	E	d	a	1
