3	B	c	5	9	A	e	7	2	D	0	1	8	6	4	F
6	f	7	9	8	4	2	1	3	b	E	5	0	a	C	D
2	d	1	0	6	f	5	c	4	A	8	9	B	e	7	3
4	e	8	A	d	0	b	3	7	F	C	6	9	2	5	1
0	2	4	6	a	5	7	8	B	9	f	d	e	3	1	c
e	C	3	1	b	2	f	0	8	4	A	7	D	9	6	5
5	A	b	8	4	1	d	9	e	c	6	3	f	0	2	7
F	7	9	D	3	6	C	e	5	0	1	2	4	8	A	B
C	1	a	2	7	9	8	4	0	5	B	e	3	f	d	6
b	5	E	3	f	D	1	a	C	6	2	8	7	4	0	9
8	0	d	7	e	3	6	5	9	1	4	f	2	c	b	A
9	6	f	4	C	b	0	2	d	3	7	a	1	5	E	8
7	3	2	f	5	c	4	D	6	e	9	B	a	1	8	0
1	9	0	c	2	8	A	b	F	7	5	4	6	d	3	e
d	8	5	b	1	E	9	6	A	2	3	0	c	7	F	4
a	4	6	E	0	7	3	f	1	8	d	c	5	b	9	2
