A	F	0	b	9	3	E	C	2	8	4	6	d	7	5	1
4	1	3	5	0	f	D	8	B	9	7	a	C	2	6	E
7	6	d	2	B	1	5	A	c	0	F	e	8	4	9	3
E	c	8	9	2	6	4	7	d	3	1	5	B	f	A	0
c	7	1	8	5	2	A	e	6	b	9	3	0	d	F	4
B	4	F	A	8	7	3	0	1	c	2	d	6	9	e	5
0	E	2	6	1	D	9	B	5	4	8	f	3	A	c	7
d	9	5	3	F	4	c	6	a	7	E	0	2	1	b	8
5	8	A	0	7	C	6	3	4	F	d	9	E	B	1	2
6	D	C	7	E	9	1	4	3	5	b	2	F	0	8	a
2	3	4	1	d	b	8	f	0	E	a	c	5	6	7	9
f	B	9	e	a	0	2	5	8	1	6	7	4	C	3	D
9	5	b	4	3	8	0	2	7	6	C	1	A	E	D	F
1	0	e	D	6	a	b	9	f	2	3	8	7	5	4	c
8	2	6	F	C	e	7	D	9	a	5	4	1	3	0	b
3	a	7	c	4	5	f	1	e	d	0	B	9	8	2	6
