c	E	0	a	3	F	B	1	2	4	9	8	6	5	d	7
8	7	1	b	A	d	E	2	5	0	C	6	4	9	F	3
3	f	6	2	c	4	9	5	A	7	D	1	0	b	e	8
5	9	D	4	8	7	6	0	F	3	e	b	1	2	a	C
6	2	F	1	7	3	C	8	0	b	5	9	d	E	4	A
D	A	B	7	9	2	5	E	1	C	3	4	F	8	0	6
E	C	3	5	D	0	4	b	6	a	8	f	9	7	1	2
4	8	9	0	f	1	A	6	e	2	7	D	c	3	5	B
2	3	c	d	1	5	0	4	9	F	B	7	8	a	6	E
9	b	5	f	E	a	8	7	4	D	6	2	3	1	c	0
7	0	A	8	b	6	F	d	C	E	1	3	5	4	2	9
1	4	e	6	2	C	3	9	8	5	0	a	7	F	B	d
F	6	7	C	5	B	1	3	d	9	2	e	a	0	8	4
B	5	4	E	0	9	D	F	7	8	A	c	2	6	3	1
a	1	2	3	4	8	7	c	B	6	f	0	e	d	9	5
0	d	8	9	6	e	2	A	3	1	4	5	b	C	7	f
