5	E	0	b	F	3	4	a	c	9	D	1	6	2	7	8
2	7	f	4	0	e	D	5	a	8	3	6	9	1	b	c
d	c	A	8	1	7	6	9	b	0	2	5	4	e	3	F
9	6	3	1	b	8	C	2	4	7	F	E	a	0	D	5
B	9	5	D	4	c	1	F	7	6	8	0	3	A	E	2
3	2	8	7	A	b	0	e	d	F	1	4	5	c	9	6
c	0	4	e	D	6	5	3	9	2	b	a	F	8	1	7
A	1	6	f	7	2	9	8	3	5	e	c	d	b	0	4
7	8	b	0	5	a	f	c	e	d	6	3	2	9	4	1
4	3	E	5	2	D	7	6	1	C	9	8	b	F	A	0
F	a	c	6	9	0	E	1	2	B	4	7	8	3	5	D
1	D	2	9	8	4	3	b	0	a	5	f	c	7	6	e
8	4	D	2	3	F	b	7	5	E	0	9	1	6	c	a
6	5	1	C	e	9	8	0	f	4	a	B	7	d	2	3
e	F	9	A	c	1	2	4	6	3	7	d	0	5	8	b
0	b	7	3	6	5	a	d	8	1	c	2	E	4	f	9
