7	4	8	2	D	6	e	3	9	0	C	f	a	b	5	1
3	6	d	c	0	5	B	8	4	1	a	7	E	2	f	9
F	E	5	1	4	7	9	a	2	6	8	b	0	C	3	D
0	B	9	A	1	2	f	C	d	e	5	3	6	8	4	7
A	D	3	F	5	1	c	7	8	B	6	E	9	4	2	0
9	1	4	5	2	f	0	e	c	d	3	A	8	7	6	b
b	C	0	E	9	8	6	4	F	2	7	5	3	1	D	a
6	8	2	7	A	b	3	d	1	9	0	4	f	5	E	c
2	9	6	4	B	e	a	0	3	f	1	C	5	D	7	8
c	0	1	d	3	4	2	5	7	8	E	9	B	6	A	F
5	A	f	8	C	9	7	6	b	4	D	0	2	e	1	3
E	7	b	3	8	d	1	F	5	A	2	6	c	0	9	4
1	5	A	9	e	c	D	b	6	7	f	8	4	3	0	2
8	2	c	6	f	0	4	1	E	3	9	d	7	a	B	5
d	3	7	B	6	a	8	9	0	5	4	2	1	f	c	E
4	f	e	0	7	3	5	2	a	c	B	1	d	9	8	6
