2	E	4	9	5	8	3	1	0	b	6	c	7	A	d	F
1	D	6	8	4	a	E	0	7	F	5	2	3	9	c	b
f	C	5	3	9	b	7	6	1	d	4	A	8	2	E	0
0	7	B	a	2	C	D	F	E	8	9	3	1	5	4	6
5	3	e	F	a	1	6	D	4	9	b	7	0	c	8	2
7	A	1	6	0	E	5	4	2	C	d	8	f	3	b	9
B	8	D	4	C	3	9	2	F	A	0	6	5	1	7	e
C	9	2	0	8	f	b	7	5	3	E	1	4	D	6	a
D	2	9	b	E	5	f	8	3	0	1	4	6	7	A	c
3	4	7	5	d	2	0	c	a	6	f	b	e	8	9	1
A	6	F	1	7	9	4	B	8	5	c	e	D	0	2	3
8	0	c	E	3	6	1	A	D	7	2	9	B	4	f	5
6	5	3	d	B	7	c	e	9	4	A	0	2	F	1	8
9	b	8	7	6	4	2	5	C	1	3	F	A	E	0	D
E	F	a	C	1	0	8	3	B	2	7	D	9	6	5	4
4	1	0	2	f	d	a	9	6	E	8	5	C	B	3	7
