5	3	6	0	a	1	e	4	d	f	8	2	9	C	B	7
C	F	b	a	3	2	5	0	e	7	1	9	8	D	6	4
2	9	4	E	D	7	8	c	5	6	0	B	3	F	A	1
D	7	1	8	6	B	9	F	3	a	c	4	2	e	0	5
0	4	2	5	1	d	6	9	f	b	e	C	a	7	3	8
6	1	9	B	E	8	A	2	4	3	7	0	F	5	c	d
7	D	e	f	4	C	0	3	a	5	2	8	6	b	1	9
3	a	8	C	7	5	F	B	9	D	6	1	0	4	E	2
A	0	c	2	9	e	d	1	B	8	4	7	5	6	F	3
9	8	D	4	5	0	c	6	1	E	F	3	b	2	7	a
E	5	f	7	b	3	2	8	6	0	9	A	4	1	d	C
1	b	3	6	f	A	4	7	C	2	5	d	e	8	9	0
F	e	5	9	8	4	1	a	0	c	d	6	7	3	2	B
B	C	7	1	0	F	3	E	2	4	a	5	d	9	8	6
4	2	A	3	c	6	7	D	8	9	b	f	1	0	5	E
8	6	0	D	2	9	b	5	7	1	3	E	C	A	4	F
