0	1	B	A	F	6	4	5	8	9	e	D	2	3	7	c
C	6	3	8	d	2	0	E	7	b	A	1	f	5	4	9
9	7	4	2	c	a	1	8	5	f	0	3	6	b	d	e
d	5	F	E	9	B	3	7	2	4	c	6	1	0	a	8
8	a	0	3	1	E	b	d	4	5	9	7	c	F	6	2
b	9	e	C	A	4	8	2	D	6	1	F	3	7	5	0
2	F	D	6	5	0	7	3	A	e	8	c	4	1	9	B
1	4	5	7	6	C	f	9	b	3	2	0	A	8	E	d
5	3	2	1	4	8	6	0	E	d	F	9	7	C	b	a
E	b	7	D	2	1	9	A	3	C	5	4	0	6	8	F
f	c	A	4	e	7	5	B	0	8	6	2	d	9	1	3
6	0	8	9	3	D	c	f	1	7	B	a	e	4	2	5
3	e	1	F	8	9	A	4	C	2	7	5	B	D	0	6
7	d	9	5	0	f	e	1	6	a	3	B	8	2	c	4
4	8	c	B	7	5	2	6	F	0	d	e	9	A	3	1
A	2	6	0	b	3	D	C	9	1	4	8	5	E	f	7
